(0, 0, 0.9446689170495839) (1, 0, 0.9446689170495839) (2, 0, 0.9446689170495839) (3, 0, 0.9446689170495839) (4, 0, 0.9446689170495839) (5, 0, 0.5218483217500717) (6, 0, 0.5218483217500717) (7, 0, 0.5218483217500717) (8, 0, 0.5218483217500717) (9, 0, 0.5218483217500717) 

(0, 1, 0.9446689170495839) (1, 1, 0.9446689170495839) (2, 1, 0.9446689170495839) (3, 1, 0.9446689170495839) (4, 1, 0.9446689170495839) (5, 1, 0.5218483217500717) (6, 1, 0.5218483217500717) (7, 1, 0.5218483217500717) (8, 1, 0.5218483217500717) (9, 1, 0.5218483217500717) 

(0, 2, 0.9446689170495839) (1, 2, 0.9446689170495839) (2, 2, 0.9446689170495839) (3, 2, 0.9446689170495839) (4, 2, 0.46147936225293185) (5, 2, 0.46147936225293185) (6, 2, 0.46147936225293185) (7, 2, 0.5218483217500717) (8, 2, 0.5218483217500717) (9, 2, 0.5218483217500717) 

(0, 3, 0.9446689170495839) (1, 3, 0.9446689170495839) (2, 3, 0.9446689170495839) (3, 3, 0.9446689170495839) (4, 3, 0.46147936225293185) (5, 3, 0.46147936225293185) (6, 3, 0.46147936225293185) (7, 3, 0.46147936225293185) (8, 3, 0.7805291762864555) (9, 3, 0.7805291762864555) 

(0, 4, 0.9446689170495839) (1, 4, 0.9446689170495839) (2, 4, 0.9446689170495839) (3, 4, 0.7991585642167236) (4, 4, 0.46147936225293185) (5, 4, 0.46147936225293185) (6, 4, 0.46147936225293185) (7, 4, 0.46147936225293185) (8, 4, 0.7805291762864555) (9, 4, 0.7805291762864555) 

(0, 5, 0.9446689170495839) (1, 5, 0.9446689170495839) (2, 5, 0.7991585642167236) (3, 5, 0.7991585642167236) (4, 5, 0.7991585642167236) (5, 5, 0.7991585642167236) (6, 5, 0.46147936225293185) (7, 5, 0.978618342232764) (8, 5, 0.978618342232764) (9, 5, 0.7805291762864555) 

(0, 6, 0.11827442586893322) (1, 6, 0.7991585642167236) (2, 6, 0.7991585642167236) (3, 6, 0.7991585642167236) (4, 6, 0.7991585642167236) (5, 6, 0.7991585642167236) (6, 6, 0.7991585642167236) (7, 6, 0.978618342232764) (8, 6, 0.978618342232764) (9, 6, 0.1433532874090464) 

(0, 7, 0.11827442586893322) (1, 7, 0.11827442586893322) (2, 7, 0.11827442586893322) (3, 7, 0.6399210213275238) (4, 7, 0.6399210213275238) (5, 7, 0.6399210213275238) (6, 7, 0.7991585642167236) (7, 7, 0.978618342232764) (8, 7, 0.4146619399905236) (9, 7, 0.4146619399905236) 

(0, 8, 0.11827442586893322) (1, 8, 0.11827442586893322) (2, 8, 0.11827442586893322) (3, 8, 0.11827442586893322) (4, 8, 0.6399210213275238) (5, 8, 0.6399210213275238) (6, 8, 0.6399210213275238) (7, 8, 0.6399210213275238) (8, 8, 0.4146619399905236) (9, 8, 0.4146619399905236) 

(0, 9, 0.11827442586893322) (1, 9, 0.11827442586893322) (2, 9, 0.11827442586893322) (3, 9, 0.11827442586893322) (4, 9, 0.11827442586893322) (5, 9, 0.6399210213275238) (6, 9, 0.6399210213275238) (7, 9, 0.6399210213275238) (8, 9, 0.4146619399905236) (9, 9, 0.4146619399905236) 

