eV loc1 loc2 loc3
463.57605489759953 1168.0 1127.0 1146.0
463.8996794786981 1292.0 1038.0 1285.0
464.22330405979665 1289.0 979.0 1155.0
464.5469286408952 1339.0 1088.0 1229.0
464.87055322199376 1340.0 1037.0 1193.0
465.1941778030923 1291.0 1075.0 1259.0
465.5178023841909 1319.0 1186.0 1172.0
465.84142696528943 1369.0 1061.0 1133.0
466.165051546388 1304.0 1033.0 1244.0
466.48867612748654 1412.0 989.0 1178.0
466.8123007085851 1260.0 1131.0 1175.0
467.13592528968366 1297.0 1124.0 1138.0
467.4595498707822 1268.0 1130.0 1122.0
467.78317445188077 1203.0 1121.0 1134.0
468.1067990329793 1167.0 1078.0 1234.0
468.4304236140779 1247.0 1000.0 1206.0
468.75404819517644 1292.0 1030.0 1118.0
469.077672776275 1301.0 976.0 1189.0
469.40129735737355 1357.0 1039.0 1080.0
469.7249219384721 1239.0 973.0 1077.0
470.04854651957066 1200.0 1045.0 1109.0
470.3721711006692 1169.0 966.0 1074.0
470.6957956817678 1197.0 980.0 1162.0
471.01942026286633 1188.0 1014.0 1139.0
471.3430448439649 1269.0 1016.0 1133.0
471.66666942506345 1224.0 998.0 1222.0
471.990294006162 1272.0 1053.0 1123.0
472.31391858726056 1230.0 1051.0 1152.0
472.6375431683591 1185.0 1018.0 1178.0
472.9611677494577 1239.0 977.0 1088.0
473.28479233055623 1213.0 901.0 1148.0
473.6084169116548 1180.0 977.0 1118.0
473.93204149275334 1217.0 937.0 1116.0
474.2556660738519 1236.0 937.0 1125.0
474.57929065495046 1112.0 1021.0 1109.0
474.902915236049 1174.0 1010.0 1124.0
475.22653981714757 1174.0 947.0 1138.0
475.5501643982461 1153.0 981.0 1112.0
475.8737889793447 1168.0 1019.0 1078.0
476.19741356044324 1152.0 924.0 1133.0
476.5210381415418 1142.0 983.0 1106.0
476.84466272264035 1160.0 1046.0 1146.0
477.1682873037389 1135.0 1042.0 1166.0
477.49191188483746 1254.0 1005.0 1156.0
477.815536465936 1202.0 881.0 1108.0
478.1391610470346 1231.0 902.0 1071.0
478.46278562813313 1274.0 877.0 1042.0
478.7864102092317 1210.0 964.0 1072.0
479.11003479033025 1170.0 894.0 1103.0
479.4336593714288 1146.0 943.0 1084.0
479.75728395252736 1202.0 934.0 1119.0
480.0809085336259 1132.0 949.0 991.0
480.4045331147245 1151.0 1009.0 1031.0
480.72815769582303 1165.0 1060.0 1044.0
481.0517822769216 1167.0 1099.0 1068.0
481.37540685802014 1207.0 1062.0 1166.0
481.6990314391187 1180.0 1105.0 1089.0
482.02265602021725 1242.0 1059.0 1117.0
482.3462806013158 1226.0 1110.0 1013.0
482.66990518241437 1220.0 980.0 1067.0
482.9935297635129 1251.0 1058.0 1044.0
483.3171543446115 1185.0 1091.0 1020.0
483.64077892571004 1170.0 995.0 1072.0
483.9644035068086 1153.0 1090.0 1136.0
484.28802808790715 1259.0 1058.0 1179.0
484.6116526690057 1240.0 1041.0 1075.0
484.93527725010426 1240.0 981.0 1072.0
485.2589018312028 1330.0 985.0 1135.0
485.5825264123014 1270.0 970.0 1120.0
485.90615099339993 1333.0 1049.0 1126.0
486.2297755744985 1316.0 1073.0 1235.0
486.55340015559705 1390.0 1172.0 1286.0
486.8770247366956 1492.0 1256.0 1263.0
487.20064931779416 1438.0 1171.0 1335.0
487.5242738988927 1505.0 1327.0 1312.0
487.8478984799913 1583.0 1413.0 1337.0
488.17152306108983 1674.0 1365.0 1322.0
488.4951476421884 1689.0 1355.0 1353.0
488.81877222328694 1729.0 1474.0 1360.0
489.1423968043855 1842.0 1425.0 1417.0
489.46602138548405 1779.0 1458.0 1376.0
489.7896459665826 1805.0 1331.0 1323.0
490.11327054768117 1789.0 1330.0 1285.0
490.4368951287797 1628.0 1253.0 1254.0
490.7605197098783 1637.0 1289.0 1220.0
491.08414429097684 1560.0 1256.0 1326.0
491.4077688720754 1509.0 1219.0 1269.0
491.73139345317395 1602.0 1183.0 1227.0
492.0550180342725 1536.0 1120.0 1196.0
492.37864261537106 1468.0 1183.0 1068.0
492.7022671964696 1494.0 1179.0 1143.0
493.0258917775682 1373.0 1229.0 1108.0
493.34951635866673 1456.0 1224.0 1213.0
493.6731409397653 1500.0 1197.0 1240.0
493.99676552086385 1406.0 1236.0 1138.0
494.3203901019624 1415.0 1131.0 1238.0
494.64401468306096 1567.0 1120.0 1247.0
494.9676392641595 1497.0 1174.0 1179.0
495.2912638452581 1491.0 1217.0 1161.0
495.61488842635663 1462.0 1305.0 1209.0
495.9385130074552 1453.0 1310.0 1239.0
496.26213758855374 1492.0 1235.0 1321.0
496.5857621696523 1478.0 1211.0 1258.0
496.90938675075085 1537.0 1096.0 1182.0
497.2330113318494 1503.0 1161.0 1187.0
497.55663591294797 1483.0 1145.0 1175.0
497.8802604940465 1393.0 1080.0 1219.0
498.2038850751451 1430.0 1173.0 1047.0
498.52750965624364 1418.0 1190.0 1049.0
498.8511342373422 1442.0 1106.0 957.0
499.17475881844075 1369.0 1156.0 1101.0
499.4983833995393 1410.0 1081.0 1164.0
499.82200798063786 1348.0 1086.0 1042.0
500.1456325617364 1395.0 1059.0 1155.0
500.469257142835 1439.0 1123.0 1144.0
500.79288172393353 1301.0 1052.0 1265.0
