x   y   c
0.0001000000 0.0000100000 21.2019202940
0.0001000000 0.0000177828 21.2894348700
0.0001000000 0.0000316228 21.4390362390
0.0001000000 0.0000562341 21.6854746440
0.0001000000 0.0001000000 22.0426209950
0.0001000000 0.0001778279 22.4343766820
0.0001000000 0.0003162278 22.8570812890
0.0001000000 0.0005623413 23.0163839330
0.0001000000 0.0010000000 22.6171825190
0.0001000000 0.0017782794 21.7258542220
0.0001000000 0.0031622777 20.9619701330
0.0001000000 0.0056234133 18.2226776380
0.0001000000 0.0100000000 13.2881465300
0.0001000000 0.0177827941 0.6572804930
0.0001000000 0.0316227766 0.2045872250
0.0001000000 0.0562341325 -0.1249916960
0.0001000000 0.1000000000 -0.2880795590
0.0001000000 0.1778279410 1.8871494960
0.0001000000 0.3162277660 1.4571109900
0.0001000000 0.5623413252 1.2495138770
0.0001000000 1.0000000000 1.1281007530
0.0001000000 1.7782794100 1.0437334490
0.0001000000 3.1622776602 1.0078510210
0.0001000000 5.6234132519 0.9905812180
0.0001000000 10.0000000000 0.9821289950
0.0001000000 17.7827941004 0.9724892300
0.0001000000 31.6227766017 0.9530854750
0.0001000000 56.2341325190 0.9187223310
0.0001000000 100.0000000000 0.8141217280
0.0001000000 177.8279410039 0.5022646820
0.0001000000 316.2277660168 -0.0000000000
0.0001000000 562.3413251903 -0.0000000000
0.0001000000 1000.0000000000 -0.0000000000
0.0001778279 0.0000100000 24.6221349460
0.0001778279 0.0000177828 24.6983229170
0.0001778279 0.0000316228 24.8267939090
0.0001778279 0.0000562341 25.0469369280
0.0001778279 0.0001000000 25.4271594650
0.0001778279 0.0001778279 25.4543843190
0.0001778279 0.0003162278 25.2247310940
0.0001778279 0.0005623413 24.9378896260
0.0001778279 0.0010000000 23.6452544070
0.0001778279 0.0017782794 22.7338008300
0.0001778279 0.0031622777 21.9141299530
0.0001778279 0.0056234133 21.3255933450
0.0001778279 0.0100000000 18.3577342580
0.0001778279 0.0177827941 13.0644501920
0.0001778279 0.0316227766 0.7527326020
0.0001778279 0.0562341325 0.6649481770
0.0001778279 0.1000000000 3.5343703120
0.0001778279 0.1778279410 2.4726284920
0.0001778279 0.3162277660 1.8141382540
0.0001778279 0.5623413252 1.4546333650
0.0001778279 1.0000000000 0.2416037690
0.0001778279 1.7782794100 1.1051494760
0.0001778279 3.1622776602 1.0423775360
0.0001778279 5.6234132519 1.0104304270
0.0001778279 10.0000000000 0.9937032920
0.0001778279 17.7827941004 0.9790275460
0.0001778279 31.6227766017 0.9563846300
0.0001778279 56.2341325190 0.9201915450
0.0001778279 100.0000000000 0.8145347060
0.0001778279 177.8279410039 0.5022354040
0.0001778279 316.2277660168 -0.0000000000
0.0001778279 562.3413251903 -0.0000000000
0.0001778279 1000.0000000000 -0.0000000000
0.0003162278 0.0000100000 26.7504591350
0.0003162278 0.0000177828 26.4350918100
0.0003162278 0.0000316228 26.4176121250
0.0003162278 0.0000562341 26.4575835690
0.0003162278 0.0001000000 26.5288671070
0.0003162278 0.0001778279 26.2184610420
0.0003162278 0.0003162278 26.3578302310
0.0003162278 0.0005623413 26.6555760940
0.0003162278 0.0010000000 25.8449068120
0.0003162278 0.0017782794 24.4539814880
0.0003162278 0.0031622777 22.9547220640
0.0003162278 0.0056234133 22.2987208630
0.0003162278 0.0100000000 21.7492589790
0.0003162278 0.0177827941 18.2062340650
0.0003162278 0.0316227766 12.4159720610
0.0003162278 0.0562341325 0.8736047080
0.0003162278 0.1000000000 5.0779779790
0.0003162278 0.1778279410 3.3936475560
0.0003162278 0.3162277660 2.3602705970
0.0003162278 0.5623413252 1.7654570960
0.0003162278 1.0000000000 1.4201005700
0.0003162278 1.7782794100 1.2117979360
0.0003162278 3.1622776602 1.1028498160
0.0003162278 5.6234132519 1.0453750530
0.0003162278 10.0000000000 1.0141419840
0.0003162278 17.7827941004 0.9905962200
0.0003162278 31.6227766017 0.9622302120
0.0003162278 56.2341325190 0.9227969190
0.0003162278 100.0000000000 0.8152672990
0.0003162278 177.8279410039 0.5021832620
0.0003162278 316.2277660168 -0.0000000000
0.0003162278 562.3413251903 -0.0000000000
0.0003162278 1000.0000000000 -0.0000000000
0.0005623413 0.0000100000 26.9922554420
0.0005623413 0.0000177828 27.0247674950
0.0005623413 0.0000316228 27.0820722020
0.0005623413 0.0000562341 27.1685028540
0.0005623413 0.0001000000 27.2957018950
0.0005623413 0.0001778279 27.4525348210
0.0005623413 0.0003162278 27.5100477750
0.0005623413 0.0005623413 27.3016664170
0.0005623413 0.0010000000 27.2575940300
0.0005623413 0.0017782794 26.7438504860
0.0005623413 0.0031622777 24.6394461100
0.0005623413 0.0056234133 23.2709636050
0.0005623413 0.0100000000 22.9540520860
0.0005623413 0.0177827941 22.1450361440
0.0005623413 0.0316227766 17.4618590670
0.0005623413 0.0562341325 11.4899058830
