x   y   c
0.0001000000 0.0000100000 -2.1201920294
0.0001000000 0.0000177828 -2.1289434870
0.0001000000 0.0000316228 -2.1439036239
0.0001000000 0.0000562341 -2.1685474644
0.0001000000 0.0001000000 -2.2042620995
0.0001000000 0.0001778279 -2.2434376682
0.0001000000 0.0003162278 -2.2857081289
0.0001000000 0.0005623413 -2.3016383933
0.0001000000 0.0010000000 -2.2617182519
0.0001000000 0.0017782794 -2.1725854222
0.0001000000 0.0031622777 -2.0961970133
0.0001000000 0.0056234133 -1.8222677638
0.0001000000 0.0100000000 -1.3288146530
0.0001000000 0.0177827941 -0.0657280493
0.0001000000 0.0316227766 -0.0204587225
0.0001000000 0.0562341325 0.0124991696
0.0001000000 0.1000000000 0.0288079559
0.0001000000 0.1778279410 -0.1887149496
0.0001000000 0.3162277660 -0.1457110990
0.0001000000 0.5623413252 -0.1249513877
0.0001000000 1.0000000000 -0.1128100753
0.0001000000 1.7782794100 -0.1043733449
0.0001000000 3.1622776602 -0.1007851021
0.0001000000 5.6234132519 -0.0990581218
0.0001000000 10.0000000000 -0.0982128995
0.0001000000 17.7827941004 -0.0972489230
0.0001000000 31.6227766017 -0.0953085475
0.0001000000 56.2341325190 -0.0918722331
0.0001000000 100.0000000000 -0.0814121728
0.0001000000 177.8279410039 -0.0502264682
0.0001000000 316.2277660168 0.0000000000
0.0001000000 562.3413251903 0.0000000000
0.0001000000 1000.0000000000 0.0000000000
0.0001778279 0.0000100000 -2.4622134946
0.0001778279 0.0000177828 -2.4698322917
0.0001778279 0.0000316228 -2.4826793909
0.0001778279 0.0000562341 -2.5046936928
0.0001778279 0.0001000000 -2.5427159465
0.0001778279 0.0001778279 -2.5454384319
0.0001778279 0.0003162278 -2.5224731094
0.0001778279 0.0005623413 -2.4937889626
0.0001778279 0.0010000000 -2.3645254407
0.0001778279 0.0017782794 -2.2733800830
0.0001778279 0.0031622777 -2.1914129953
0.0001778279 0.0056234133 -2.1325593345
0.0001778279 0.0100000000 -1.8357734258
0.0001778279 0.0177827941 -1.3064450192
0.0001778279 0.0316227766 -0.0752732602
0.0001778279 0.0562341325 -0.0664948177
0.0001778279 0.1000000000 -0.3534370312
0.0001778279 0.1778279410 -0.2472628492
0.0001778279 0.3162277660 -0.1814138254
0.0001778279 0.5623413252 -0.1454633365
0.0001778279 1.0000000000 -0.0241603769
0.0001778279 1.7782794100 -0.1105149476
0.0001778279 3.1622776602 -0.1042377536
0.0001778279 5.6234132519 -0.1010430427
0.0001778279 10.0000000000 -0.0993703292
0.0001778279 17.7827941004 -0.0979027546
0.0001778279 31.6227766017 -0.0956384630
0.0001778279 56.2341325190 -0.0920191545
0.0001778279 100.0000000000 -0.0814534706
0.0001778279 177.8279410039 -0.0502235404
0.0001778279 316.2277660168 0.0000000000
0.0001778279 562.3413251903 0.0000000000
0.0001778279 1000.0000000000 0.0000000000
0.0003162278 0.0000100000 -2.6750459135
0.0003162278 0.0000177828 -2.6435091810
0.0003162278 0.0000316228 -2.6417612125
0.0003162278 0.0000562341 -2.6457583569
0.0003162278 0.0001000000 -2.6528867107
0.0003162278 0.0001778279 -2.6218461042
0.0003162278 0.0003162278 -2.6357830231
0.0003162278 0.0005623413 -2.6655576094
0.0003162278 0.0010000000 -2.5844906812
0.0003162278 0.0017782794 -2.4453981488
